Precinct,Annissa Essaibi George,Annissa Essaibi George Percent,Michelle Wu,Michelle Wu Percent,Total Votes,Unresolved Write-In,Unresolved Write-In Percent,WARD_PRECINCT
"WARD 3, PRECINCT 8",460,24.42,1415,75.11,1884,9,0.48,0308
"WARD 4, PRECINCT 1",234,30.12,541,69.63,777,2,0.26,0401
"WARD 4, PRECINCT 2",332,30.40,756,69.23,1092,4,0.37,0402
"WARD 4, PRECINCT 3",185,31.41,401,68.08,589,3,0.51,0403
"WARD 4, PRECINCT 4",211,31.78,453,68.22,664,0,0.00,0404
"WARD 4, PRECINCT 5",123,27.21,329,72.79,452,0,0.00,0405
"WARD 4, PRECINCT 6",71,23.20,233,76.14,306,2,0.65,0406
"WARD 4, PRECINCT 7",80,22.99,266,76.44,348,2,0.57,0407
"WARD 4, PRECINCT 8",65,20.50,251,79.18,317,1,0.32,0408
"WARD 4, PRECINCT 9",29,23.58,93,75.61,123,1,0.81,0409
"WARD 4, PRECINCT 10",13,22.81,44,77.19,57,0,0.00,0410
"WARD 5, PRECINCT 1",446,27.96,1145,71.79,1595,4,0.25,0501
"WARD 5, PRECINCT 2",71,17.71,330,82.29,401,0,0.00,0502
"WARD 5, PRECINCT 3",223,35.06,411,64.62,636,2,0.31,0503
"WARD 5, PRECINCT 4",162,25.92,461,73.76,625,2,0.32,0504
"WARD 5, PRECINCT 5",123,42.12,168,57.53,292,1,0.34,0505
"WARD 5, PRECINCT 6",237,38.16,382,61.51,621,2,0.32,0506
"WARD 5, PRECINCT 7",272,34.61,509,64.76,786,5,0.64,0507
"WARD 5, PRECINCT 8",218,34.12,419,65.57,639,2,0.31,0508
"WARD 5, PRECINCT 9",240,30.93,533,68.69,776,3,0.39,0509
"WARD 5, PRECINCT 10",99,24.94,297,74.81,397,1,0.25,0510
"WARD 5, PRECINCT 11",144,31.30,314,68.26,460,2,0.43,0511
"WARD 5, PRECINCT 2A",47,17.09,227,82.55,275,1,0.36,0502A
"WARD 6, PRECINCT 1",757,38.16,1221,61.54,1984,6,0.30,0601
"WARD 6, PRECINCT 2",226,54.20,186,44.60,417,5,1.20,0602
"WARD 6, PRECINCT 3",358,55.76,284,44.24,642,0,0.00,0603
"WARD 6, PRECINCT 4",420,60.87,267,38.70,690,3,0.43,0604
"WARD 6, PRECINCT 5",387,59.54,262,40.31,650,1,0.15,0605
"WARD 6, PRECINCT 6",450,73.53,159,25.98,612,3,0.49,0606
"WARD 6, PRECINCT 7",439,68.92,195,30.61,637,3,0.47,0607
"WARD 6, PRECINCT 8",443,72.03,168,27.32,615,4,0.65,0608
"WARD 6, PRECINCT 9",517,77.63,148,22.22,666,1,0.15,0609
"WARD 7, PRECINCT 1",443,76.51,135,23.32,579,1,0.17,0701
"WARD 7, PRECINCT 2",491,68.48,225,31.38,717,1,0.14,0702
"WARD 7, PRECINCT 3",544,68.86,244,30.89,790,2,0.25,0703
"WARD 7, PRECINCT 4",333,63.67,188,35.95,523,2,0.38,0704
"WARD 7, PRECINCT 5",224,49.89,223,49.67,449,2,0.45,0705
"WARD 7, PRECINCT 6",205,49.76,207,50.24,412,0,0.00,0706
"WARD 7, PRECINCT 7",114,38.26,183,61.41,298,1,0.34,0707
"WARD 7, PRECINCT 8",261,51.99,239,47.61,502,2,0.40,0708
"WARD 7, PRECINCT 9",213,53.92,180,45.57,395,2,0.51,0709
"WARD 7, PRECINCT 10",105,29.33,253,70.67,358,0,0.00,0710
"WARD 8, PRECINCT 1",107,24.21,333,75.34,442,2,0.45,0801
"WARD 8, PRECINCT 2",232,29.67,543,69.44,782,7,0.90,0802
"WARD 8, PRECINCT 3",58,22.39,199,76.83,259,2,0.77,0803
"WARD 8, PRECINCT 4",39,23.35,125,74.85,167,3,1.80,0804
