Precinct,Annissa Essaibi George,Annissa Essaibi George Percent,Richard Spagnuolo,Richard Spagnuolo Percent,Andrea Campbell,Andrea Campbell Percent,Kim Janey,Kim Janey Percent,Michelle Wu,Michelle Wu Percent,Jon Santiago,Jon Santiago Percent,Robert Cappucci,Robert Cappucci Percent,John Barros,John Barros Percent,Total Votes,Unresolved Write-In,Unresolved Write-In Percent,WARD_PRECINCT
"WARD 10, PRECINCT 7",29,8.43,1,0.29,57,16.57,102,29.65,142,41.28,6,1.74,2,0.58,5,1.45,344,0,0,1007
"WARD 10, PRECINCT 8",45,8.69,0,0,96,18.53,83,16.02,282,54.44,5,0.97,1,0.19,6,1.16,518,0,0,1008
"WARD 10, PRECINCT 9",46,7.1,1,0.15,161,24.85,95,14.66,327,50.46,3,0.46,1,0.15,14,2.16,648,0,0,1009
"WARD 11, PRECINCT 1",13,4.81,0,0,72,26.67,94,34.81,85,31.48,1,0.37,1,0.37,4,1.48,270,0,0,1101
"WARD 11, PRECINCT 2",20,4.52,0,0,89,20.14,197,44.57,120,27.15,2,0.45,1,0.23,13,2.94,442,0,0,1102
"WARD 11, PRECINCT 3",16,6.08,0,0,53,20.15,139,52.85,49,18.63,1,0.38,0,0,5,1.9,263,0,0,1103
"WARD 11, PRECINCT 4",29,6.03,1,0.21,94,19.54,146,30.35,200,41.58,2,0.42,4,0.83,5,1.04,481,0,0,1104
"WARD 11, PRECINCT 5",36,7.95,1,0.22,86,18.98,105,23.18,210,46.36,6,1.32,3,0.66,5,1.1,453,1,0.22,1105
"WARD 11, PRECINCT 6",29,6.52,0,0,144,32.36,49,11.01,211,47.42,0,0,1,0.22,11,2.47,445,0,0,1106
"WARD 11, PRECINCT 7",33,5.6,1,0.17,135,22.92,91,15.45,312,52.97,4,0.68,0,0,12,2.04,589,1,0.17,1107
"WARD 11, PRECINCT 8",49,6.7,0,0,188,25.72,94,12.86,385,52.67,0,0,1,0.14,13,1.78,731,1,0.14,1108
"WARD 11, PRECINCT 9",26,5.94,0,0,129,29.45,54,12.33,223,50.91,0,0,0,0,5,1.14,438,1,0.23,1109
"WARD 11, PRECINCT 10",15,3.1,0,0,131,27.07,81,16.74,246,50.83,1,0.21,2,0.41,8,1.65,484,0,0,1110
"WARD 12, PRECINCT 1",18,4.25,0,0,64,15.09,244,57.55,88,20.75,0,0,2,0.47,8,1.89,424,0,0,1201
"WARD 12, PRECINCT 2",18,3.75,0,0,97,20.21,271,56.46,72,15,5,1.04,1,0.21,16,3.33,480,0,0,1202
"WARD 12, PRECINCT 3",8,3.35,0,0,41,17.15,150,62.76,38,15.9,0,0,0,0,2,0.84,239,0,0,1203
"WARD 12, PRECINCT 4",14,4.98,0,0,55,19.57,148,52.67,57,20.28,0,0,0,0,7,2.49,281,0,0,1204
"WARD 12, PRECINCT 5",7,3.29,0,0,34,15.96,128,60.09,35,16.43,2,0.94,0,0,7,3.29,213,0,0,1205
"WARD 12, PRECINCT 6",11,4.14,0,0,48,18.05,152,57.14,35,13.16,0,0,0,0,20,7.52,266,0,0,1206
"WARD 12, PRECINCT 7",23,5.29,5,1.15,77,17.7,228,52.41,91,20.92,7,1.61,0,0,4,0.92,435,0,0,1207
"WARD 12, PRECINCT 8",8,4.52,1,0.56,35,19.77,93,52.54,32,18.08,2,1.13,0,0,6,3.39,177,0,0,1208
"WARD 12, PRECINCT 9",5,1.98,0,0,60,23.81,132,52.38,45,17.86,1,0.4,1,0.4,7,2.78,252,1,0.4,1209
"WARD 13, PRECINCT 1",15,4.63,0,0,54,16.67,150,46.3,46,14.2,2,0.62,1,0.31,56,17.28,324,0,0,1301
"WARD 13, PRECINCT 2",4,3.45,1,0.86,29,25,48,41.38,19,16.38,0,0,0,0,15,12.93,116,0,0,1302
"WARD 13, PRECINCT 3",34,16.5,0,0,41,19.9,49,23.79,73,35.44,0,0,1,0.49,8,3.88,206,0,0,1303
"WARD 13, PRECINCT 4",9,4.17,0,0,49,22.69,84,38.89,33,15.28,3,1.39,3,1.39,35,16.2,216,0,0,1304
"WARD 13, PRECINCT 5",19,7.92,0,0,52,21.67,53,22.08,51,21.25,2,0.83,0,0,63,26.25,240,0,0,1305
"WARD 13, PRECINCT 6",64,18.82,4,1.18,79,23.24,50,14.71,94,27.65,2,0.59,1,0.29,43,12.65,340,3,0.88,1306
"WARD 13, PRECINCT 7",123,33.79,3,0.82,55,15.11,33,9.07,132,36.26,2,0.55,4,1.1,11,3.02,364,1,0.27,1307
"WARD 13, PRECINCT 8",117,37.62,0,0,50,16.08,29,9.32,94,30.23,2,0.64,2,0.64,17,5.47,311,0,0,1308
"WARD 13, PRECINCT 9",105,29.01,1,0.28,71,19.61,44,12.15,104,28.73,1,0.28,3,0.83,32,8.84,362,1,0.28,1309
"WARD 13, PRECINCT 10",314,43.07,2,0.27,155,21.26,39,5.35,181,24.83,1,0.14,11,1.51,26,3.57,729,0,0,1310
"WARD 14, PRECINCT 1",23,4.6,0,0,88,17.6,278,55.6,69,13.8,4,0.8,0,0,38,7.6,500,0,0,1401
"WARD 14, PRECINCT 2",19,3.73,1,0.2,129,25.29,265,51.96,61,11.96,3,0.59,1,0.2,31,6.08,510,0,0,1402
"WARD 14, PRECINCT 3",6,2.65,1,0.44,43,19.03,125,55.31,45,19.91,2,0.88,0,0,4,1.77,226,0,0,1403
"WARD 14, PRECINCT 4",20,6.49,0,0,76,24.68,133,43.18,59,19.16,1,0.32,1,0.32,18,5.84,308,0,0,1404
"WARD 14, PRECINCT 5",13,6.31,1,0.49,40,19.42,112,54.37,36,17.48,1,0.49,1,0.49,1,0.49,206,1,0.49,1405
"WARD 14, PRECINCT 6",13,5.8,0,0,67,29.91,103,45.98,28,12.5,0,0,0,0,12,5.36,224,1,0.45,1406
"WARD 14, PRECINCT 7",12,5.29,0,0,74,32.6,99,43.61,32,14.1,3,1.32,0,0,7,3.08,227,0,0,1407
"WARD 14, PRECINCT 8",23,7.32,0,0,92,29.3,143,45.54,49,15.61,0,0,1,0.32,5,1.59,314,1,0.32,1408
"WARD 14, PRECINCT 9",11,5.21,1,0.47,53,25.12,101,47.87,31,14.69,1,0.47,0,0,12,5.69,211,1,0.47,1409
"WARD 14, PRECINCT 10",16,5.71,1,0.36,77,27.5,127,45.36,43,15.36,2,0.71,0,0,14,5,280,0,0,1410
"WARD 14, PRECINCT 11",13,4.59,3,1.06,88,31.1,134,47.35,33,11.66,0,0,0,0,12,4.24,283,0,0,1411
"WARD 14, PRECINCT 12",5,3.07,0,0,38,23.31,92,56.44,21,12.88,0,0,0,0,7,4.29,163,0,0,1412
"WARD 14, PRECINCT 13",11,4.62,0,0,73,30.67,120,50.42,30,12.61,0,0,0,0,4,1.68,238,0,0,1413
"WARD 14, PRECINCT 14",15,5.75,0,0,67,25.67,142,54.41,32,12.26,2,0.77,1,0.38,2,0.77,261,0,0,1414
"WARD 15, PRECINCT 1",30,9.84,0,0,55,18.03,133,43.61,44,14.43,0,0,0,0,41,13.44,305,2,0.66,1501
"WARD 15, PRECINCT 2",20,9.57,0,0,42,20.1,90,43.06,23,11,0,0,2,0.96,32,15.31,209,0,0,1502
"WARD 15, PRECINCT 3",16,11.76,0,0,21,15.44,47,34.56,26,19.12,0,0,0,0,26,19.12,136,0,0,1503
"WARD 15, PRECINCT 4",25,7.08,0,0,70,19.83,123,34.84,50,14.16,3,0.85,2,0.57,80,22.66,353,0,0,1504
"WARD 15, PRECINCT 5",21,7.37,0,0,69,24.21,116,40.7,43,15.09,1,0.35,0,0,35,12.28,285,0,0,1505
"WARD 15, PRECINCT 6",73,35.61,2,0.98,26,12.68,28,13.66,61,29.76,2,0.98,5,2.44,8,3.9,205,0,0,1506
"WARD 15, PRECINCT 7",25,10.12,1,0.4,53,21.46,78,31.58,48,19.43,0,0,0,0,41,16.6,247,1,0.4,1507
"WARD 15, PRECINCT 8",38,17.04,5,2.24,38,17.04,66,29.6,53,23.77,0,0,1,0.45,21,9.42,223,1,0.45,1508
"WARD 15, PRECINCT 9",25,12.32,0,0,46,22.66,49,24.14,59,29.06,1,0.49,1,0.49,22,10.84,203,0,0,1509
"WARD 16, PRECINCT 1",52,20.47,0,0,68,26.77,53,20.87,69,27.17,1,0.39,1,0.39,10,3.94,254,0,0,1601
"WARD 16, PRECINCT 2",139,47.28,1,0.34,41,13.95,21,7.14,78,26.53,1,0.34,2,0.68,10,3.4,294,1,0.34,1602
"WARD 16, PRECINCT 3",46,13.18,0,0,117,33.52,91,26.07,79,22.64,4,1.15,2,0.57,10,2.87,349,0,0,1603
"WARD 16, PRECINCT 4",72,22.22,0,0,71,21.91,67,20.68,94,29.01,0,0,3,0.93,16,4.94,324,1,0.31,1604
"WARD 16, PRECINCT 5",183,44.2,1,0.24,70,16.91,50,12.08,104,25.12,0,0,1,0.24,5,1.21,414,0,0,1605
"WARD 16, PRECINCT 6",110,24.55,0,0,100,22.32,98,21.88,110,24.55,0,0,4,0.89,24,5.36,448,2,0.45,1606
"WARD 16, PRECINCT 7",343,62.94,0,0,53,9.72,43,7.89,83,15.23,0,0,3,0.55,19,3.49,545,1,0.18,1607
"WARD 16, PRECINCT 8",297,48.61,0,0,108,17.68,52,8.51,126,20.62,0,0,5,0.82,23,3.76,611,0,0,1608
"WARD 16, PRECINCT 9",533,74.75,0,0,55,7.71,24,3.37,80,11.22,3,0.42,2,0.28,16,2.24,713,0,0,1609
