Precinct,Annissa Essaibi George,Richard Spagnuolo,Andrea Campbell,Kim Janey,Michelle Wu,Jon Santiago,Robert Cappucci,John Barros,Total Votes,Unresolved Write-In
"WARD 15, PRECINCT 2",20,0,42,90,23,0,2,32,209,0
"WARD 15, PRECINCT 3",16,0,21,47,26,0,0,26,136,0
"WARD 15, PRECINCT 4",25,0,70,123,50,3,2,80,353,0
"WARD 15, PRECINCT 5",21,0,69,116,43,1,0,35,285,0
"WARD 15, PRECINCT 6",73,2,26,28,61,2,5,8,205,0
"WARD 15, PRECINCT 7",25,1,53,78,48,0,0,41,247,1
"WARD 15, PRECINCT 8",38,5,38,66,53,0,1,21,223,1
"WARD 15, PRECINCT 9",25,0,46,49,59,1,1,22,203,0
"WARD 16, PRECINCT 1",52,0,68,53,69,1,1,10,254,0
"WARD 16, PRECINCT 2",139,1,41,21,78,1,2,10,294,1
"WARD 16, PRECINCT 3",46,0,117,91,79,4,2,10,349,0
"WARD 16, PRECINCT 4",72,0,71,67,94,0,3,16,324,1
"WARD 16, PRECINCT 5",183,1,70,50,104,0,1,5,414,0
"WARD 16, PRECINCT 6",110,0,100,98,110,0,4,24,448,2
"WARD 16, PRECINCT 7",343,0,53,43,83,0,3,19,545,1
"WARD 16, PRECINCT 8",297,0,108,52,126,0,5,23,611,0
"WARD 16, PRECINCT 9",533,0,55,24,80,3,2,16,713,0
"WARD 16, PRECINCT 10",343,0,37,24,75,0,9,11,500,1
"WARD 16, PRECINCT 11",331,1,90,61,92,0,1,19,595,0
"WARD 16, PRECINCT 12",598,2,39,39,51,1,3,15,749,1
"WARD 17, PRECINCT 1",9,1,65,125,38,1,0,20,259,0
"WARD 17, PRECINCT 2",13,0,66,76,29,0,1,20,205,0
"WARD 17, PRECINCT 3",35,0,168,189,82,2,2,21,500,1
"WARD 17, PRECINCT 4",81,1,170,203,132,1,2,31,621,0
"WARD 17, PRECINCT 5",15,0,52,95,23,0,0,1,186,0
"WARD 17, PRECINCT 6",48,0,142,100,80,1,1,16,388,0
"WARD 17, PRECINCT 7",10,0,59,79,21,0,0,6,175,0
"WARD 17, PRECINCT 8",23,0,114,120,47,0,0,4,308,0
"WARD 17, PRECINCT 9",25,0,205,80,71,1,1,9,392,0
"WARD 17, PRECINCT 10",14,0,120,161,44,0,2,10,352,1
"WARD 17, PRECINCT 11",15,1,71,53,31,0,2,12,185,0
"WARD 17, PRECINCT 12",39,0,85,141,33,0,0,13,311,0
"WARD 17, PRECINCT 13",152,0,111,97,110,1,5,13,489,0
"WARD 17, PRECINCT 14",83,0,170,104,101,0,1,16,477,2
"WARD 18, PRECINCT 1",42,1,194,281,58,0,1,18,595,0
"WARD 18, PRECINCT 2",18,0,75,188,49,1,0,6,338,1
"WARD 18, PRECINCT 3",33,0,82,247,69,0,1,3,435,0
"WARD 18, PRECINCT 4",27,0,125,238,84,0,0,4,478,0
"WARD 18, PRECINCT 5",41,1,102,318,83,3,1,13,562,0
"WARD 18, PRECINCT 6",35,0,132,366,94,0,1,13,641,0
"WARD 18, PRECINCT 7",60,1,134,120,134,3,1,7,460,0
"WARD 18, PRECINCT 8",102,2,99,348,176,2,2,18,750,1
"WARD 18, PRECINCT 9",113,1,108,104,224,3,4,8,565,0
"WARD 18, PRECINCT 10",152,0,157,90,454,1,3,13,870,0
"WARD 18, PRECINCT 11",41,2,63,120,106,0,1,6,339,0
